date,city,temperature_c,rainfall_mm,humidity_pct,wind_speed_kmh,season,year,month,day,day_of_year
2015-01-01,VirtualCity,24.63,3.71,79.87,9.1,Winter,2015,1,1,1
2015-01-02,VirtualCity,22.78,0.0,79.49,5.89,Winter,2015,1,2,2
2015-01-03,VirtualCity,25.64,1.39,78.38,8.85,Winter,2015,1,3,3
2015-01-04,VirtualCity,26.1,2.38,76.04,7.47,Winter,2015,1,4,4
2015-01-05,VirtualCity,21.93,1.12,84.62,11.08,Winter,2015,1,5,5
2015-01-06,VirtualCity,23.08,6.58,73.31,11.06,Winter,2015,1,6,6
2015-01-07,VirtualCity,25.39,3.04,76.93,10.21,Winter,2015,1,7,7
2015-01-08,VirtualCity,24.9,3.39,76.95,8.93,Winter,2015,1,8,8
2015-01-09,VirtualCity,25.52,1.94,78.47,8.03,Winter,2015,1,9,9
2015-01-10,VirtualCity,24.43,2.97,75.1,8.48,Winter,2015,1,10,10
2015-01-11,VirtualCity,27.2,0.33,78.04,11.63,Winter,2015,1,11,11
2015-01-12,VirtualCity,27.22,2.63,76.07,8.49,Winter,2015,1,12,12
2015-01-13,VirtualCity,26.32,0.94,70.37,6.52,Winter,2015,1,13,13
2015-01-14,VirtualCity,28.08,2.39,76.69,10.61,Winter,2015,1,14,14
2015-01-15,VirtualCity,27.25,0.0,72.2,11.2,Winter,2015,1,15,15
2015-01-16,VirtualCity,25.43,0.52,69.61,11.41,Winter,2015,1,16,16
2015-01-17,VirtualCity,27.44,6.22,77.04,10.69,Winter,2015,1,17,17
2015-01-18,VirtualCity,25.61,4.83,78.38,10.91,Winter,2015,1,18,18
2015-01-19,VirtualCity,28.53,5.9,78.47,9.56,Winter,2015,1,19,19
2015-01-20,VirtualCity,27.3,6.05,78.57,7.02,Winter,2015,1,20,20
2015-01-21,VirtualCity,27.26,4.48,68.5,9.57,Winter,2015,1,21,21
2015-01-22,VirtualCity,26.67,2.0,70.71,10.31,Winter,2015,1,22,22
2015-01-23,VirtualCity,29.69,0.72,83.97,9.42,Winter,2015,1,23,23
2015-01-24,VirtualCity,27.78,5.52,71.8,9.38,Winter,2015,1,24,24
2015-01-25,VirtualCity,27.53,3.14,78.35,8.47,Winter,2015,1,25,25
2015-01-26,VirtualCity,27.8,8.49,73.07,8.44,Winter,2015,1,26,26
2015-01-27,VirtualCity,29.28,2.2,76.05,11.87,Winter,2015,1,27,27
2015-01-28,VirtualCity,29.18,7.34,73.1,11.93,Winter,2015,1,28,28
2015-01-29,VirtualCity,29.4,2.66,77.78,9.7,Winter,2015,1,29,29
2015-01-30,VirtualCity,29.58,5.94,75.98,10.05,Winter,2015,1,30,30
2015-01-31,VirtualCity,32.3,6.73,73.54,8.56,Winter,2015,1,31,31
2015-02-01,VirtualCity,28.62,0.75,71.03,10.52,Winter,2015,2,1,32
2015-02-02,VirtualCity,28.61,1.93,76.19,11.88,Winter,2015,2,2,33
2015-02-03,VirtualCity,28.3,0.73,70.15,7.95,Winter,2015,2,3,34
2015-02-04,VirtualCity,30.59,0.29,76.6,10.36,Winter,2015,2,4,35
2015-02-05,VirtualCity,31.5,4.47,85.28,10.46,Winter,2015,2,5,36
2015-02-06,VirtualCity,29.77,2.57,80.05,10.46,Winter,2015,2,6,37
2015-02-07,VirtualCity,28.82,3.12,77.4,11.81,Winter,2015,2,7,38
2015-02-08,VirtualCity,28.98,4.22,74.06,12.3,Winter,2015,2,8,39
2015-02-09,VirtualCity,31.33,0.0,66.51,9.59,Winter,2015,2,9,40
2015-02-10,VirtualCity,31.6,5.83,68.85,10.69,Winter,2015,2,10,41
